id,identity_to_query
hCoV_19GuangdongGDSZ202009_P00322020_EPI_ISL_413881_2020_02_05,0.929
hCoV_19GuangdongDG_S6_P00552020_EPI_ISL_413895_2020_02_28,0.927
hCoV_19GuangdongFS_S30_P00522020_EPI_ISL_413892_2020_02_28,0.928
hCoV_19GuangdongGZ_S6_P00502020_EPI_ISL_413873_2020_02_28,0.926
hCoV_19GuangdongFS_S48_P00472020_EPI_ISL_413870_2020_02_28,0.926
hCoV_19GuangdongDG_S41_P00562020_EPI_ISL_413896_2020_02_28,0.927
hCoV_19GuangdongDG_S9_P00452020_EPI_ISL_413868_2020_02_28,0.928
hCoV_19GuangdongFS_S42_P00462020_EPI_ISL_413869_2020_02_28,0.928
hCoV_19GuangdongFS_S50_P00532020_EPI_ISL_413893_2020_02_28,0.928
hCoV_19GuangdongMM_S1_P00482020_EPI_ISL_413871_2020_02_28,0.928
hCoV_19GuangdongZH_S33_P00582020_EPI_ISL_413898_2020_02_28,0.928
hCoV_19GuangdongZS_S6_P00602020_EPI_ISL_413900_2020_02_28,0.928
hCoV_19Colombia792562020_EPI_ISL_417924_2020_03_11,0.927
hCoV_19ColombiaBogota783902020_EPI_ISL_418262_2020_03_06,0.926
hCoV_19ScotlandEDB0132020_EPI_ISL_415639_2020_03_10,0.927
hCoV_19ScotlandEDB0082020_EPI_ISL_415635_2020_03_09,0.927
hCoV_19ScotlandEDB0092020_EPI_ISL_415636_2020_03_06,0.927
hCoV_19ScotlandEDB0072020_EPI_ISL_415634_2020_03_06,0.927
hCoV_19GermanyNRW_072020_EPI_ISL_414506_2020_02_27,0.928
hCoV_19EnglandSheff022020_EPI_ISL_414501_2020_03_03,0.928
hCoV_19EnglandSHEF_BFF7C2020_EPI_ISL_418314_2020_03_25,0.928
hCoV_19EnglandSHEF_BFE512020_EPI_ISL_418300_2020_03_15,0.928
hCoV_19CongoKN_00382020_EPI_ISL_417434_2020_03_14,0.928
hCoV_19EnglandSHEF_BFF302020_EPI_ISL_418310_2020_03_25,0.928
hCoV_19EnglandSHEF_BFF4F2020_EPI_ISL_418311_2020_03_25,0.928
hCoV_19EnglandSHEF_BFF5E2020_EPI_ISL_418312_2020_03_25,0.928
hCoV_19GermanyNRW_0112020_EPI_ISL_414507_2020_03_03,0.928
hCoV_19IrelandDublin_190722020_EPI_ISL_414584_2020_03_02,0.928
hCoV_19IrelandLimerick_199332020_EPI_ISL_414585_2020_03_03,0.928
hCoV_19Northern,0.928
hCoV_19ScotlandCVR012020_EPI_ISL_413221_2020_03_02,0.928
hCoV_19ScotlandCVR032020_EPI_ISL_414025_2020_03_01,0.928
hCoV_19ScotlandEDB0062020_EPI_ISL_415633_2020_03_09,0.928
hCoV_19WalesPHW032020_EPI_ISL_414486_2020_03_07,0.928
hCoV_19WalesPHW052020_EPI_ISL_414488_2020_03_08,0.928
hCoV_19WalesPHW072020_EPI_ISL_415977_2020_03_08,0.928
hCoV_19WalesPHW092020_EPI_ISL_415978_2020_03_08,0.928
hCoV_19WalesPHW102020_EPI_ISL_415453_2020_03_10,0.928
hCoV_19WalesPHW122020_EPI_ISL_415536_2020_03_10,0.928
hCoV_19WalesPHW172020_EPI_ISL_416027_2020_03_09,0.928
hCoV_19WalesPHW182020_EPI_ISL_415991_2020_03_09,0.928
hCoV_19WalesPHW212020_EPI_ISL_416026_2020_03_11,0.928
hCoV_19WalesPHW22020_EPI_ISL_413556_2020_03_04,0.928
hCoV_19WalesPHW252020_EPI_ISL_415916_2020_03_11,0.928
hCoV_19CanadaBC_173972020_EPI_ISL_415580_2020_02_28,0.928
hCoV_19CanadaBC_37_0_22020_EPI_ISL_412965_2020_02_16,0.929
hCoV_19CanadaBC_692432020_EPI_ISL_415577_2020_02_20,0.929
hCoV_19EnglandSHEF_BFD812020_EPI_ISL_418288_2020_03_18,0.929
hCoV_19EnglandSHEF_BFDBE2020_EPI_ISL_418290_2020_03_18,0.929
hCoV_19EnglandSHEF_BFDDC2020_EPI_ISL_418292_2020_03_18,0.929
hCoV_19EnglandSHEF_BFE242020_EPI_ISL_418297_2020_03_17,0.929
hCoV_19EnglandSHEF_BFE422020_EPI_ISL_418299_2020_03_18,0.929
hCoV_19EnglandSHEF_BFE602020_EPI_ISL_418301_2020_03_05,0.929
hCoV_19EnglandSHEF_BFFC72020_EPI_ISL_418319_2020_03_25,0.929
hCoV_19GermanyNRW_052020_EPI_ISL_414504_2020_02_26,0.929
hCoV_19GermanyNRW_102020_EPI_ISL_414574_2020_02_28,0.929
hCoV_19Guangdong2020XN4239_P00342020_EPI_ISL_413888_2020_01_30,0.929
hCoV_19Guangdong2020XN4291_P00382020_EPI_ISL_413889_2020_01_30,0.929
hCoV_19GuangdongGD2020134_P00312020_EPI_ISL_413883_2020_02_02,0.929
hCoV_19GuangdongGD2020139_P00072020_EPI_ISL_413882_2020_02_02,0.929
hCoV_19GuangdongGDFS2020052_P00252020_EPI_ISL_413875_2020_02_10,0.929
hCoV_19GuangdongGDFS2020127_P00262020_EPI_ISL_413874_2020_02_12,0.929
hCoV_19GuangdongGDSZ202004_P00042020_EPI_ISL_413879_2020_02_05,0.929
hCoV_19GuangdongSZ_N128_P00572020_EPI_ISL_413897_2020_02_28,0.929
hCoV_19GuangdongSZ_N59_P00492020_EPI_ISL_413872_2020_02_28,0.929
hCoV_19IrelandCork22020_EPI_ISL_417432_2020_03_08,0.929
hCoV_19ScotlandCVR022020_EPI_ISL_414024_2020_03_02,0.929
hCoV_19ScotlandCVR042020_EPI_ISL_414026_2020_03_04,0.929
hCoV_19ScotlandCVR062020_EPI_ISL_415628_2020_03_07,0.929
hCoV_19ScotlandEDB0122020_EPI_ISL_415638_2020_03_07,0.929
hCoV_19SpainValencia42020_EPI_ISL_416483_2020_02_26,0.929
hCoV_19USACT_Yale_0012020_EPI_ISL_416416_2020_03_06,0.929
hCoV_19USACT_Yale_0022020_EPI_ISL_416417_2020_03_10,0.929
hCoV_19USACT_Yale_0032020_EPI_ISL_416418_2020_03_08,0.929
hCoV_19USACT_Yale_0052020_EPI_ISL_416419_2020_03_09,0.929
hCoV_19USACT_Yale_0072020_EPI_ISL_416421_2020_03_13,0.929
hCoV_19USACT_Yale_0102020_EPI_ISL_416424_2020_03_14,0.929
hCoV_19WalesPHW262020_EPI_ISL_415918_2020_03_11,0.929
hCoV_19WalesPHW292020_EPI_ISL_415919_2020_03_11,0.929
hCoV_19JapanDP07632020_EPI_ISL_416623_2020_02_17,0.949
hCoV_19AustraliaVIC102020_EPI_ISL_416516_2020_03_16,0.947
hCoV_19AustraliaVIC112020_EPI_ISL_416517_2020_03_16,0.939
hCoV_19JapanDP07792020_EPI_ISL_416626_2020_02_17,0.940
hCoV_19AustraliaVIC062020_EPI_ISL_416414_2020_03_06,0.940
hCoV_19CongoKN_00702020_EPI_ISL_417441_2020_03_17,0.939
hCoV_19AustraliaVIC092020_EPI_ISL_416515_2020_03_15,0.939
hCoV_19JapanDP04622020_EPI_ISL_416602_2020_02_16,0.942
hCoV_19JapanDP06972020_EPI_ISL_416616_2020_02_17,0.942
hCoV_19AustraliaVIC022020_EPI_ISL_416410_2020_01_24,0.940
hCoV_19AustraliaVIC122020_EPI_ISL_416518_2020_03_16,0.940
hCoV_19JapanDP07002020_EPI_ISL_416618_2020_02_17,0.940
hCoV_19JapanDP06902020_EPI_ISL_416615_2020_02_17,0.941
hCoV_19WalesPHWC_23B9D2020_EPI_ISL_418095_2020_03_12,0.940
hCoV_19WalesPHWC_23BF72020_EPI_ISL_418099_2020_03_13,0.933
hCoV_19WalesPHWC_23A812020_EPI_ISL_418084_2020_03_12,0.935
hCoV_19WalesPHWC_23BE82020_EPI_ISL_418098_2020_03_13,0.936
hCoV_19WalesPHWC_23B422020_EPI_ISL_418092_2020_03_12,0.937
hCoV_19WalesPHWC_23ACD2020_EPI_ISL_418086_2020_03_12,0.937
hCoV_19WalesPHWC_23B7F2020_EPI_ISL_418094_2020_03_12,0.937
hCoV_19WalesPHWC_23AFA2020_EPI_ISL_418089_2020_03_12,0.936
hCoV_19USAWA_S1202020_EPI_ISL_417173_2020_03_01,0.931
hCoV_19USAWA_S1212020_EPI_ISL_417174_2020_03_01,0.931
hCoV_19NetherlandsNoordBrabant_132020_EPI_ISL_414453_2020_03_06,0.941
hCoV_19NetherlandsZuidHolland_62020_EPI_ISL_414466_2020_03_04,0.941
hCoV_19NetherlandsNoordBrabant_382020_EPI_ISL_414547_2020_03_06,0.942
hCoV_19NetherlandsTilburg_2020_EPI_ISL_413585_2020,0.942
hCoV_19ShanghaiSH00812020_EPI_ISL_416383_2020_02_01,0.932
hCoV_19USACA_CDPH_UC212020_EPI_ISL_417325_2020_03_03,0.939
hCoV_19SpainValencia102020_EPI_ISL_417206_2020_03_06,0.923
hCoV_19SpainIrsi_042020_EPI_ISL_418268_2020_03_13,0.928
hCoV_19GuangdongGDFS2020054_P00052020_EPI_ISL_413850_2020_02_10,0.956
hCoV_19NigeriaLagos012020_EPI_ISL_413550_2020_02_27,0.944
hCoV_19USAWA_UW2782020_EPI_ISL_418063_2020_03_16,0.947
hCoV_19Iceland1412020_EPI_ISL_417792_2020_03_13,0.952
hCoV_19USAWA_UW2632020_EPI_ISL_418048_2020_03_16,0.963
hCoV_19NetherlandsNoordBrabant_472020_EPI_ISL_415504_2020_03_09,0.940
hCoV_19NetherlandsNoordBrabant_572020_EPI_ISL_415513_2020_03_11,0.940
hCoV_19Iceland1212020_EPI_ISL_417546_2020_03_17,0.929
hCoV_19ShanghaiSH00352020_EPI_ISL_416344_2020_01_30,0.933
hCoV_19Switzerland421693102020_EPI_ISL_418275_2020_02_27,0.936
hCoV_19Iceland412020_EPI_ISL_417847_2020_03_04,0.899
hCoV_19England201240947022020_EPI_ISL_418725_2020_03_18,0.891
hCoV_19Switzerland421694712020_EPI_ISL_418273_2020_02_28,0.941
hCoV_19Switzerland421762162020_EPI_ISL_418281_2020_03_04,0.942
hCoV_19Norway14432020_EPI_ISL_417490_2020_02_27,0.928
hCoV_19Iceland182020_EPI_ISL_417710_2020_03_02,0.923
hCoV_19BrazilRS01072020_EPI_ISL_417934_2020_03_14,0.940
hCoV_19BelgiumULG_38432020_EPI_ISL_417012_2020_03_08,0.942
hCoV_19CanadaBC_646862020_EPI_ISL_415586_2020_03_05,0.943
hCoV_19England201260123022020_EPI_ISL_418755_2020_03_17,0.915
hCoV_19BrazilGO01062020_EPI_ISL_417930_2020_03_13,0.927
hCoV_19England201260346022020_EPI_ISL_418763_2020_03_17,0.929
hCoV_19NetherlandsLimburg_62020_EPI_ISL_414427_2020_03_03,0.932
hCoV_19USAUT_000112020_EPI_ISL_417959_2020_03_24,0.916
hCoV_19USAWA_S82020_EPI_ISL_416463_2020_02_24,0.953
hCoV_19Iceland862020_EPI_ISL_417870_2020_03_10,0.935
hCoV_19Iceland322020_EPI_ISL_417776_2020_03_03,0.942
hCoV_19Norway14942020_EPI_ISL_417489_2020_02_29,0.966
hCoV_19England201240952022020_EPI_ISL_418728_2020_03_18,0.947
hCoV_19England201100001062020_EPI_ISL_417300_2020_03_05,0.943
hCoV_19England201240092022020_EPI_ISL_418695_2020_03_16,0.943
hCoV_19England201240210022020_EPI_ISL_418703_2020_03_17,0.943
hCoV_19England201121121062020_EPI_ISL_417314_2020_03_10,0.962
hCoV_19England201240358022020_EPI_ISL_418715_2020_03_17,0.961
hCoV_19Iceland992020_EPI_ISL_417768_2020_03_10,0.959
hCoV_19Iceland3322020_EPI_ISL_417661_2020_03_14,0.964
hCoV_19England201260045022020_EPI_ISL_418745_2020_03_18,0.958
hCoV_19England201240482022020_EPI_ISL_418722_2020_03_17,0.960
hCoV_19England201081251062020_EPI_ISL_417259_2020_03_04,0.962
hCoV_19Iceland602020_EPI_ISL_417760_2020_03_06,0.944
hCoV_19England201240958022020_EPI_ISL_418731_2020_03_13,0.958
hCoV_19Iceland342020_EPI_ISL_417843_2020_03_03,0.952
hCoV_19Iceland3282020_EPI_ISL_417657_2020_03_13,0.955
hCoV_19Iceland3292020_EPI_ISL_417658_2020_03_14,0.955
hCoV_19Iceland3402020_EPI_ISL_417669_2020_03_15,0.955
hCoV_19Iceland3332020_EPI_ISL_417662_2020_03_14,0.954
hCoV_19Iceland1082020_EPI_ISL_417708_2020_03_11,0.954
hCoV_19Iceland1142020_EPI_ISL_417782_2020_03_11,0.954
hCoV_19Iceland172020_EPI_ISL_417811_2020_03_02,0.954
hCoV_19Iceland242020_EPI_ISL_417747_2020_03_11,0.954
hCoV_19Iceland3272020_EPI_ISL_417656_2020_03_14,0.954
hCoV_19Iceland422020_EPI_ISL_417673_2020_03_04,0.954
hCoV_19Iceland462020_EPI_ISL_417751_2020_03_04,0.954
hCoV_19Iceland672020_EPI_ISL_417723_2020_03_08,0.954
hCoV_19Iceland682020_EPI_ISL_417858_2020_03_08,0.954
hCoV_19Iceland762020_EPI_ISL_417674_2020_03_09,0.954
hCoV_19England201240341022020_EPI_ISL_418710_2020_03_16,0.954
hCoV_19England201040048022020_EPI_ISL_417225_2020_03_02,0.952
hCoV_19England201100035062020_EPI_ISL_415150_2020_03_09,0.954
hCoV_19England201060051032020_EPI_ISL_417242_2020_03_03,0.951
hCoV_19England201090979062020_EPI_ISL_417294_2020_03_08,0.953
hCoV_19England200991074062020_EPI_ISL_415131_2020_02_29,0.950
hCoV_19England201020880022020_EPI_ISL_417216_2020_02_25,0.954
hCoV_19England201260466022020_EPI_ISL_418768_2020_03_18,0.953
hCoV_19England201240035022020_EPI_ISL_418689_2020_03_17,0.952
hCoV_19England201240019022020_EPI_ISL_418686_2020_03_17,0.953
hCoV_19England201240113022020_EPI_ISL_418697_2020_03_16,0.953
hCoV_19England201240355022020_EPI_ISL_418713_2020_03_17,0.949
hCoV_19England201240379022020_EPI_ISL_418721_2020_03_18,0.949
hCoV_19England201260072022020_EPI_ISL_418752_2020_03_16,0.949
hCoV_19England201260343022020_EPI_ISL_418762_2020_03_19,0.951
hCoV_19England201000014062020_EPI_ISL_415132_2020_02_28,0.952
hCoV_19England201240013022020_EPI_ISL_418684_2020_03_17,0.951
hCoV_19England201080074022020_EPI_ISL_417257_2020_03_03,0.950
hCoV_19England201000232062020_EPI_ISL_415137_2020_03_02,0.951
hCoV_19England201080068022020_EPI_ISL_417254_2020_03_04,0.951
hCoV_19England201240012022020_EPI_ISL_418683_2020_03_17,0.951
hCoV_19England201240017022020_EPI_ISL_418685_2020_03_17,0.951
hCoV_19England201240044022020_EPI_ISL_418693_2020_03_16,0.951
hCoV_19England201240349022020_EPI_ISL_418712_2020_03_16,0.951
hCoV_19England201240964022020_EPI_ISL_418732_2020_03_13,0.951
hCoV_19England201240996022020_EPI_ISL_418736_2020_03_18,0.951
hCoV_19England201000227062020_EPI_ISL_415136_2020_02_29,0.951
hCoV_19England201020733032020_EPI_ISL_417214_2020_03_02,0.951
hCoV_19England201040231032020_EPI_ISL_417237_2020_03_03,0.951
hCoV_19England201060053032020_EPI_ISL_417243_2020_03_03,0.951
hCoV_19England201240373022020_EPI_ISL_418720_2020_03_17,0.951
hCoV_19England201240985022020_EPI_ISL_418735_2020_03_18,0.951
hCoV_19England201260067022020_EPI_ISL_418748_2020_03_18,0.951
hCoV_19England201260259022020_EPI_ISL_418758_2020_03_18,0.951
hCoV_19England201090522062020_EPI_ISL_417274_2020_03_06,0.949
hCoV_19England201060872062020_EPI_ISL_417245_2020_03_02,0.950
hCoV_19England201260262022020_EPI_ISL_418759_2020_03_18,0.950
hCoV_19NetherlandsUtrecht_142020_EPI_ISL_414553_2020_03_09,0.945
hCoV_19England201260360022020_EPI_ISL_418765_2020_03_18,0.971
hCoV_19WalesPHW382020_EPI_ISL_415538_2020_03_12,0.968
hCoV_19USAWA_UW1322020_EPI_ISL_416670_2020_03_12,0.965
hCoV_19USAWA_UW532020_EPI_ISL_415618_2020_03_09,0.956
hCoV_19USAWA_UW1572020_EPI_ISL_416695_2020_03_13,0.953
hCoV_19CanadaON_PHL22232020_EPI_ISL_418381_2020,0.951
hCoV_19CanadaON_PHL22732020_EPI_ISL_418383_2020,0.951
hCoV_19CanadaON_PHL68842020_EPI_ISL_418343_2020_03_10,0.968
hCoV_19USAWI_GMF_002372020_EPI_ISL_418189_2020_03_23,0.965
hCoV_19WuhanWH052020_EPI_ISL_408978_2020_02_07,0.965
hCoV_19USAWA_UW2892020_EPI_ISL_418074_2020_03_15,0.968
hCoV_19USANY_NYUMC52020_EPI_ISL_418190_2020_03_16,0.964
hCoV_19NetherlandsOverijssel_22020_EPI_ISL_414550_2020_03_06,0.943
hCoV_19NetherlandsBerlicum_13635642020_EPI_ISL_413565_2020_02_24,0.955
hCoV_19ShanghaiSH00712020_EPI_ISL_416374_2020_02_07,0.964
hCoV_19USANY_NYUMC172020_EPI_ISL_418202_2020_03_17,0.956
hCoV_19SpainValencia72020_EPI_ISL_416486_2020_03_02,0.962
hCoV_19CongoKN_00582020_EPI_ISL_417438_2020_03_17,0.962
hCoV_19WalesPHW042020_EPI_ISL_415041_2020_03_07,0.954
hCoV_19USACA_CDPH_UC192020_EPI_ISL_417323_2020_03_04,0.962
hCoV_19CanadaON_PHL01782020_EPI_ISL_418342_2020_03_11,0.969
hCoV_19Guangdong2020XN4276_P00372020_EPI_ISL_413859_2020_01_31,0.967
hCoV_19ShanghaiSH00862020_EPI_ISL_416386_2020_01_31,0.974
hCoV_19batYunnanRaTG132013_EPI_ISL_402131_2013_07_24,0.974
